Accepted Symbol,Scientific Name,Common Name,State and Province,Duration,Growth Hit,Native Status,Invasive,Image Gallery,Active Growth Period,After Harvest Regrowth Rate,Flower Color,Flower Conspicuous,Fruit Color,Fruit Conspicuous,Growth Rate,"Height, Mature (feet)",Lifespan,Toxicity,Adapted to Coarse Textured Soils,Adapted to Medium Textured Soils,Adapted to Fine Textured Soils,Drought Tolerance,Moisture Use,Precipitation (Maximum),"Root Depth, Minimum (inches)",Salinity Tolerance,Shade Tolerance,Bloom Period,Fruit/Seed Period Begin,Fruit/Seed Period End
ACMIO,Achillea millefolium var. occidentalis,western yarrow,"[AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY]",Perennial,Forb/herb,Native,,Photo,Spring,Moderate,White,Yes,Brown,No,Moderate,3.0,Moderate,Slight,Yes,Yes,No,Medium,Medium,26,8,Low,Intermediate,Late Spring,Summer,Fall
ACNE2,Acer negundo,boxelder,"[AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY]",Perennial,Tree,Native,N'EAST,Photo,Spring and Summer,,White,No,Brown,Yes,Rapid,60,Short,None,Yes,Yes,Yes,High,Medium,75,40,Medium,Tolerant,Early Spring,Summer,Fall
ACNI5,Acer nigrum,black maple,"[AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, MA, MD, MI, MN, MO, NC, NH, NJ, NY, OH, PA, SD, TN, VA, VT, WI, WV]",Perennial,Tree,Native,,Photo,Spring and Summer,,Yellow,No,Brown,No,Moderate,100,Moderate,None,Yes,Yes,Yes,Medium,Medium,60,30,None,Tolerant,Late Spring,Summer,Fall
ACOPR,Acmella oppositifolia var. repens,oppositeleaf spotflower,"[AL, AR, FL, GA, LA, MO, MS, NC, OK, SC, TN, TX]",Perennial,Forb/herb,Native,,Photo,Summer,Slow,Green,Yes,Black,No,Rapid,0.7,Long,None,No,Yes,Yes,Low,Medium,50,6,None,Intolerant,Late Summer,Summer,Fall
ACPE,Acer pensylvanicum,striped maple,"[CT, GA, KY, MA, MD, ME, MI, MN, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WI, WV]",Perennial,"Tree, Shrub",Native,,Photo,Spring and Summer,,Yellow,No,Brown,No,Slow,35,Short,None,Yes,Yes,No,Low,Low,76,28,None,Tolerant,Late Spring,Summer,Fall
ACPL,Acer platanoides,Norway maple,"[CT, DC, DE, ID, IL, IN, KY, MA, MD, ME, MI, MN, MT, NC, NH, NJ, NY, OH, OR, PA, RI, TN, VA, VT, WA, WI, WV]",Perennial,Tree,Introduced,"N'EAST, WI",Photo,Spring and Summer,,Green,No,Brown,Yes,Slow,50,Moderate,None,No,Yes,No,Low,Medium,60,30,Medium,Intermediate,Mid Spring,Summer,Fall
ACPS,Acer pseudoplatanus,sycamore maple,"[CT, DC, DE, IL, KY, MA, MD, ME, MI, NC, NJ, NY, PA, RI]",Perennial,Tree,Introduced,STATE,Photo,Spring and Summer,,Green,No,Green,Yes,Moderate,70,Moderate,None,No,Yes,Yes,Medium,Medium,60,48,Medium,Intolerant,Late Spring,Spring,Summer
ACRU,Acer rubrum,red maple,"[AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, OR, PA, RI, SC, TN, TX, VA, VT, WI, WV]",Perennial,Tree,Native,N'EAST,Photo,Spring and Summer,,Red,Yes,Red,Yes,Rapid,68,Short,Slight,Yes,Yes,Yes,Medium,High,80,30,None,Intermediate,Early Spring,Spring,Spring
ACSA2,Acer saccharinum,silver maple,"[AL, AR, CA, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WA, WI, WV]",Perennial,Tree,Native,,Photo,Spring and Summer,,Yellow,Yes,Brown,Yes,Rapid,90,Moderate,None,Yes,Yes,Yes,Low,Medium,70,32,Low,Intermediate,Early Spring,Summer,Fall
ACSA3,Acer saccharum,sugar maple,"[AL, AR, CT, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NH, NJ, NY, OH, OK, PA, RI, SD, TN, VA, VT, WI, WV]",Perennial,"Tree, Shrub",Native,,Photo,Spring and Summer,,Green,No,Brown,No,Slow,100,Long,None,Yes,Yes,No,Medium,Medium,80,40,None,Tolerant,Mid Spring,Summer,Fall
ACSP12,Achnatherum speciosum,desert needlegrass,"[AZ, CA, CO, NM, NV, OR, UT]",Perennial,Graminoid,Native,,Photo,Spring and Summer,Slow,Yellow,No,Brown,No,Moderate,2.0,Moderate,None,Yes,Yes,No,High,Low,14,10,Low,Intolerant,Late Spring,Summer,Summer
ACSP2,Acer spicatum,mountain maple,"[AL, CT, GA, IA, KY, MA, MD, ME, MI, MN, NC, NH, NJ, NY, OH, PA, RI, TN, VA, VT, WI, WV]",Perennial,"Tree, Shrub",Native,,Photo,Spring and Summer,,Yellow,No,Brown,No,Moderate,25,Moderate,None,No,Yes,No,Low,Medium,70,32,None,Tolerant,Spring,Summer,Fall
ACTH7,Achnatherum thurberianum,Thurber's needlegrass,"[CA, CO, ID, MT, NV, OR, UT, WA, WY]",Perennial,Graminoid,Native,,Photo,Spring and Summer,Slow,Yellow,No,Brown,No,Moderate,2.0,Moderate,None,Yes,Yes,No,High,Low,16,10,Low,Intolerant,Mid Spring,Spring,Summer
ACVI,Acalypha virginica,Virginia threeseed mercury,"[AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WV]",Annual,Forb/herb,Native,"N'EAST, SWSS",Photo,"Spring, Summer, Fall",Slow,Red,Yes,Red,No,Rapid,3.0,,None,No,Yes,No,Medium,Medium,60,6,None,Intermediate,Early Summer,Summer,Fall
ADFA,Adenostoma fasciculatum,chamise,"[CA, NV]",Perennial,Shrub,Native,,Photo,"Fall, Winter and Spring",,White,No,Brown,No,,10,Moderate,None,Yes,Yes,Yes,High,Medium,30,8,Medium,Intolerant,Mid Spring,Summer,Fall
ADPE,Adiantum pedatum,northern maidenhair,"[AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, VA, VT, WI, WV]",Perennial,Forb/herb,Native,,Photo,Spring and Summer,Slow,Brown,No,Brown,No,Moderate,1.3,Moderate,None,Yes,Yes,No,Low,Medium,60,10,None,Tolerant,Summer,Summer,Fall
AECA,Aesculus californica,California buckeye,"[CA, OR]",Perennial,"Tree, Shrub",Native,,Photo,Spring and Summer,,White,No,Brown,Yes,Moderate,25,Long,Severe,Yes,Yes,No,High,Medium,75,36,None,Intermediate,Summer,Summer,Fall
AEFL,Aesculus flava,yellow buckeye,"[AL, DC, GA, IL, IN, KY, MD, MS, NC, NJ, NY, OH, PA, SC, TN, VA, WV]",Perennial,"Tree, Shrub",Native,,Photo,Spring and Summer,,Yellow,Yes,Brown,Yes,Moderate,65,Long,Severe,No,Yes,No,Low,High,84,36,None,Tolerant,Late Spring,Summer,Fall
AEGL,Aesculus glabra,Ohio buckeye,"[AL, AR, GA, IA, IL, IN, KS, KY, ME, MI, MN, MO, MS, NE, NH, NJ, NY, OH, OK, PA, TN, TX, VA, WI, WV]",Perennial,Tree,Native,,Photo,Spring and Summer,,Green,Yes,Brown,Yes,Rapid,68,Short,Severe,No,Yes,Yes,Medium,Medium,60,36,None,Tolerant,Mid Spring,Spring,Fall
AEPA,Aesculus pavia,red buckeye,"[AL, AR, FL, GA, IL, IN, KY, LA, MO, MS, NC, OH, OK, SC, TN, TX, VA, WV]",Perennial,"Tree, Shrub",Native,,Photo,Spring and Summer,,Red,Yes,Brown,Yes,Moderate,25,Long,Severe,Yes,Yes,Yes,Low,High,65,20,None,Tolerant,Late Spring,Summer,Fall
AGAU2,Agoseris aurantiaca,orange agoseris,"[AK, AZ, CA, CO, ID, MT, NM, NV, OR, SD, UT, WA, WY]",Perennial,"Subshrub, Forb/herb",Native,,Photo,Spring and Summer,Moderate,Orange,Yes,Brown,Yes,Rapid,1.0,Short,,Yes,Yes,Yes,Medium,Medium,69,6,None,Intolerant,Mid Spring,Summer,Fall
AGCA4,Agrostis canina,velvet bentgrass,"[CT, DE, HI, MA, MD, ME, MI, MN, NH, NJ, NY, OR, PA, RI, TN, VT, WV]",Perennial,Graminoid,Waif,,,Spring and Summer,Rapid,Yellow,No,Brown,No,Moderate,1.5,Short,None,Yes,Yes,No,Low,High,60,12,Medium,Intolerant,Late Spring,Summer,Summer
AGCR,Agropyron cristatum,crested wheatgrass,"[AK, CA, CO, CT, DE, IA, ID, IL, IN, KS, KY, MA, MI, MN, MT, ND, NE, NH, NM, NV, NY, OK, OR, SD, TX, UT, WA, WY]",Perennial,Graminoid,Introduced,,Photo,Spring and Fall,Slow,Yellow,No,Brown,No,Rapid,3.0,Long,None,No,Yes,Yes,High,Medium,24,10,Medium,Intolerant,Early Spring,Spring,Spring
AGDE2,Agropyron desertorum,desert wheatgrass,"[AZ, CA, CO, IA, IL, IN, KS, MA, MO, MT, ND, NM, NV, NY, OH, OR, SD, TX, UT, WI, WY]",Perennial,Graminoid,Introduced,,Photo,Spring and Fall,Slow,Yellow,No,Brown,No,Rapid,3.0,Long,None,Yes,Yes,Yes,High,Medium,24,10,Medium,Intolerant,Early Spring,Spring,Spring
AGEX,Agrostis exarata,spike bentgrass,"[AK, AZ, CA, CO, ID, KY, MT, NE, NM, NV, OK, OR, SD, TX, UT, VT, WA, WY]",Perennial,Graminoid,Native,,Photo,"Spring, Summer, Fall",Slow,Yellow,No,Brown,No,Moderate,3.0,Moderate,None,Yes,Yes,Yes,Low,Medium,30,10,Low,Intolerant,Late Spring,Summer,Summer
AGFR,Agropyron fragile,Siberian wheatgrass,"[CO, MT, NM, NV, SD, UT, WY]",Perennial,Graminoid,Introduced,,Photo,Spring and Fall,Slow,Yellow,No,Brown,No,Rapid,3.0,Long,None,Yes,Yes,No,High,Medium,24,10,High,Intolerant,Early Spring,Spring,Spring
AGGI2,Agrostis gigantea,redtop,"[AK, AL, AR, AZ, CA, CO, CT, DC, DE, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, TN, TX, UT, VA, VT, WA, WI, WV, WY]",Perennial,Graminoid,Introduced,,Photo,Spring and Summer,Rapid,Yellow,No,Brown,No,Rapid,2.0,Short,None,Yes,Yes,Yes,Medium,High,60,20,None,Intolerant,Late Spring,Summer,Summer
AGGL,Agoseris glauca,pale agoseris,"[AK, AZ, CA, CO, IA, ID, KS, MI, MN, MT, ND, NE, NM, NV, OR, SD, UT, WA, WY]",Perennial,"Forb/herb, Subshrub, Shrub",Native,,,Spring and Summer,Moderate,Yellow,Yes,Brown,Yes,Rapid,1.0,Short,None,Yes,Yes,Yes,Medium,Medium,69,6,None,Intolerant,Mid Spring,Summer,Fall
AGGR,Agoseris grandiflora,bigflower agoseris,"[CA, ID, MT, NV, OR, UT, WA]",Perennial,Forb/herb,Native,,Photo,Spring,Slow,Yellow,Yes,Brown,No,Moderate,1.8,Short,None,Yes,Yes,Yes,Medium,Medium,20,8,None,Intolerant,Spring,Summer,Summer
AGGR2,Agrimonia gryposepala,tall hairy agrimony,"[AL, AR, AZ, CA, CT, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NM, NY, OH, OR, PA, RI, SC, SD, TN, VA, VT, WA, WI, WV, WY]",Perennial,Forb/herb,Native,,Photo,Spring,Moderate,Yellow,No,Brown,No,Moderate,5.9,Moderate,None,Yes,Yes,No,Low,Medium,55,6,None,Intermediate,Summer,Summer,Fall
AGHY,Agrostis hyemalis,winter bentgrass," [AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV]",Perennial,Graminoid,Native,,Photo,"Spring, Summer, Fall",Moderate,Green,No,Brown,No,Moderate,3.5,Short,None,No,Yes,Yes,Low,High,45,8,Medium,Intermediate,Mid Spring,Summer,Fall
AGID,Agrostis idahoensis,Idaho bentgrass,"[AK, AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY]",Perennial,Graminoid,Native,,Photo,"Spring, Summer, Fall",Slow,Yellow,No,Brown,No,Moderate,1.4,Moderate,None,Yes,Yes,No,Medium,Medium,30,10,Low,Intolerant,Late Spring,Summer,Summer
AGPA2,Agastache parvifolia,smallleaf giant hyssop,[CA],Perennial,"Subshrub, Forb/herb",Native,,Photo,Spring and Summer,Slow,Red,Yes,Green,No,Moderate,2.0,Moderate,None,Yes,Yes,No,High,Low,65,12,Low,Intolerant,Late Spring,Summer,Summer
AGPA6,Agrimonia parviflora,harvestlice,"[AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MO, MS, NC, NE, NJ, NY, OH, OK, PA, SC, SD, TN, TX, VA, WI, WV]",Perennial,Forb/herb,Native,,Photo,Spring and Summer,,Yellow,Yes,Green,No,Rapid,6.0,Short,None,Yes,Yes,Yes,Low,High,50,6,None,Intermediate,Mid Summer,Summer,Fall
AGPA8,Agrostis pallens,seashore bentgrass,"[CA, ID, MT, NV, OR, WA]",Perennial,Graminoid,Native,,,Spring and Summer,Moderate,Green,No,Brown,No,Moderate,2.0,Short,None,No,Yes,Yes,Low,High,18,8,None,Intermediate,Mid Spring,Summer,Summer
AGPE,Agrostis perennans,upland bentgrass,"[AL, AR, CA, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, VA, VT, WA, WI, WV]",Perennial,Graminoid,Native,,Photo,"Spring, Summer, Fall",Moderate,Green,No,Brown,No,Moderate,3.5,Short,None,No,Yes,Yes,Low,High,56,8,None,Intermediate,Mid Summer,Summer,Fall
AGRO3,Agrimonia rostellata,beaked agrimony,"[AL, AR, CT, DC, DE, FL, GA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, NJ, NY, OH, OK, PA, SC, TN, TX, VA, WI, WV]",Perennial,Forb/herb,Native,,Photo,Spring,,Yellow,No,Brown,No,Moderate,2.3,Moderate,None,Yes,Yes,No,Low,Medium,50,6,None,Intermediate,Summer,Summer,Fall
AGSC5,Agrostis scabra,rough bentgrass,"[AK, AL, AR, AZ, CA, CO, CT, DE, FL, GA, IA, ID, IL, IN, KY, LA, MA, MD, ME, MI, MN, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY]",Perennial,Graminoid,Native,,,Spring,Slow,Yellow,No,Brown,No,Moderate,2.5,Moderate,None,No,Yes,Yes,Low,Medium,60,12,Low,Intolerant,Early Spring,Summer,Summer
AGST,Agrimonia striata,roadside agrimony,"[AL, AZ, CO, CT, DE, GA, IA, KY, MA, MD, ME, MI, MN, MT, ND, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SD, VT, WI, WV, WY]",Perennial,Forb/herb,Native,,Photo,Spring and Summer,Slow,Yellow,Yes,Brown,No,Moderate,6.0,Short,None,Yes,Yes,No,Medium,Medium,45,12,None,Tolerant,Mid Summer,Summer,Fall
AGST2,Agrostis stolonifera,creeping bentgrass,"[AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY]",Perennial,Graminoid,Introduced,"NE&GP, WSWS",Photo,Summer,Moderate,Yellow,No,Brown,No,Moderate,2.0,Short,None,No,Yes,Yes,Low,High,60,12,High,Intolerant,Mid Summer,Summer,Summer
AGUR,Agastache urticifolia,nettleleaf giant hyssop,"[CA, CO, ID, MT, NV, OR, UT, WA, WY]",Perennial,"Forb/herb, Subshrub",Native,,Photo,Spring and Summer,Moderate,Red,Yes,Green,No,Rapid,5.0,Long,None,Yes,Yes,Yes,Low,Medium,24,12,Low,Intermediate,Late Spring,Summer,Summer
AGUT,Agave utahensis,Utah agave,"[AZ, CA, NV, UT]",Perennial,"Subshrub, Shrub, Forb/herb",Native,,Photo,Spring and Summer,,Yellow,Yes,Black,No,Moderate,1.0,Moderate,None,Yes,Yes,No,High,Low,24,6,None,Intolerant,Mid Spring,Summer,Fall
AIAL,Ailanthus altissima,tree of heaven,"[AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, NE, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, TN, TX, UT, VA, WA, WI, WV]",Perennial,Tree,Introduced,"Cal-IPC, SEEPPC, STATE, WI",Photo,Spring and Summer,,Green,Yes,Yellow,Yes,Rapid,55,Short,Moderate,Yes,Yes,Yes,Medium,Medium,90,30,Medium,Intolerant,Late Spring,Summer,Fall
AJRE,Ajuga reptans,common bugle,"[AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MS, NC, NJ, NY, OH, OR, PA, RI, SC, TN, TX, UT, VA, VT, WA, WI, WV]",Perennial,Forb/herb,Introduced,,Photo,"Spring, Summer, Fall",Moderate,Blue,Yes,,No,Rapid,0.3,Moderate,None,No,Yes,Yes,Medium,High,65,10,Low,Tolerant,Mid Summer,,
ALAC4,Allium acuminatum,tapertip onion,"[AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY]",Perennial,Forb/herb,Native,,Photo,Spring and Summer,Rapid,Purple,Yes,Black,No,Rapid,1.0,Short,None,Yes,Yes,No,Medium,Low,60,6,None,Intolerant,Summer,Summer,Fall
ALAE,Alopecurus aequalis,shortawn foxtail,"[AK, AZ, CA, CO, CT, DE, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MT, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, SD, TN, UT, VA, VT, WA, WI, WY]",Perennial,Graminoid,Native,,Photo,Spring and Summer,Moderate,Green,No,Brown,No,Moderate,2.5,Short,None,No,Yes,Yes,Low,High,45,6,Medium,Intermediate,Mid Spring,Spring,Summer
ALAR,Alopecurus arundinaceus,creeping meadow foxtail,"[AZ, CO, ID, KY, MT, ND, NE, SD, UT, WA, WY]",Perennial,Graminoid,Introduced,,Photo,Spring and Summer,Rapid,Yellow,No,Black,No,Rapid,3.0,Moderate,None,No,Yes,Yes,Medium,Medium,70,12,High,Intolerant,Mid Spring,Spring,Summer
ALCA4,Alopecurus carolinianus,Carolina foxtail,"[AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, MT, NC, ND, NE, NJ, NM, NY, OH, OK, OR, PA, SC, SD, TN, TX, UT, VA, WA, WI, WV, WY]",Annual,Graminoid,Native,SWSS,Photo,Spring,Slow,Green,No,Yellow,No,Moderate,1.7,,None,Yes,Yes,Yes,Low,Low,60,12,None,Intolerant,Spring,Summer,Summer
ALDO,Allium douglasii,Douglas' onion,"[ID, OR, WA]",Perennial,Forb/herb,Native,,Photo,Spring,Slow,Purple,Yes,Brown,Yes,Rapid,0.9,Short,None,Yes,Yes,Yes,Medium,Medium,16,8,None,Intolerant,Late Spring,Spring,Summer
